Name,Fname,Number,wnumber,Class,Programe,Testdate,Roll Number,,
Prateek Pandey,ffhhfhf,7889797987,,11th(10th and 12th moving student),ONLINE+CLASSROOM(OFFLINE),20-Dec-20,900,,
Prateek Pandey,,,,Choose,Choose,Choose,160,,
Prateek Pandey,ffhhfhf,4009543,,11th(10th and 12th moving student),ONLINE,20-Dec-20,927,,
cam@gmail.com,Prateek,Shyan,99999999999,11111111111,NEET(Medical),11th(10th and 12th moving student),ONLINE,13-Dec-20,842
Pandeyprateek528@gmail.com,hhggh,hghjghjg,,,Choose,Choose,Choose,Choose,122
Pandeyprateek528@gmail.com,hhggh,hghjghjg,,,Choose,Choose,Choose,Choose,189
Pandeyprateek528@gmail.com,hhggh,,,,Choose,Choose,Choose,Choose,97
Pandeyprateek528@gmail.com,hhggh,,,,Choose,Choose,Choose,Choose,704
Pandeyprateek528@gmail.com,hhggh,,,,Choose,Choose,Choose,Choose,272
Pandeyprateek528@gmail.com,hhggh,hghjghjg,,,Choose,Choose,Choose,Choose,846
